epoch,loss,f1,precision,recall,seconds,hyper_parameters,total
4,1379.1359048485756,0.30003676999285395,0.0,0.0,339,"{'batch_size': 6, 'lr': 3.0000000000000004e-05, 'eps': 2e-09}"
5,1379.5751857757568,0.36773087599455234,0.5304724125495853,1.0,345,"{'batch_size': 6, 'lr': 3.0000000000000004e-05, 'eps': 2e-09}"
6,1379.568525493145,0.36773087599455234,0.5304724125495853,1.0,345,"{'batch_size': 6, 'lr': 3.0000000000000004e-05, 'eps': 2e-09}"
7,1379.966099202633,0.30003676999285395,0.0,0.0,344,"{'batch_size': 6, 'lr': 3.0000000000000004e-05, 'eps': 2e-09}"
8,1379.7568994760513,0.36773087599455234,0.5304724125495853,1.0,344,"{'batch_size': 6, 'lr': 3.0000000000000004e-05, 'eps': 2e-09}"
9,1380.5890240073204,0.36773087599455234,0.5304724125495853,1.0,344,"{'batch_size': 6, 'lr': 3.0000000000000004e-05, 'eps': 2e-09}"
10,1379.5892139077187,0.36773087599455234,0.5304724125495853,1.0,344,"{'batch_size': 6, 'lr': 3.0000000000000004e-05, 'eps': 2e-09}"
1,1381.4925725460052,0.30003676999285395,0.0,0.0,344,"{'batch_size': 6, 'lr': 3.0000000000000004e-05, 'eps': 3.0000000000000004e-09}"
2,1356.6874637007713,0.5453201886880188,0.5662198391420912,0.7178789938817132,344,"{'batch_size': 6, 'lr': 3.0000000000000004e-05, 'eps': 3.0000000000000004e-09}"
3,1380.6278803348541,0.36773087599455234,0.5304724125495853,1.0,342,"{'batch_size': 6, 'lr': 3.0000000000000004e-05, 'eps': 3.0000000000000004e-09}"
4,1378.8964878320694,0.36773087599455234,0.5304724125495853,1.0,344,"{'batch_size': 6, 'lr': 3.0000000000000004e-05, 'eps': 3.0000000000000004e-09}"
